price_jod,city,district,neighborhood,property_type,area,bedrooms,bathrooms,floor,building_age,furnished,latitude,longitude,condition_score
240748.01,Amman,Dabouq,Dabouq Villas,house,177.4,3,3,6,7,yes,31.989054,35.837872,0.578
177640.85,Amman,Sweifieh,7th Circle Side,apartment,179.4,3,2,3,0,yes,31.953064,35.85101,0.31
127617.55,Amman,Deir Ghbar,Upper Deir Ghbar,house,114.1,2,4,2,9,yes,31.929189,35.862276,0.364
148792.77,Amman,Abdoun,North Abdoun,apartment,171.9,2,2,1,22,yes,31.942296,35.893558,0.618
133793.93,Amman,Deir Ghbar,Embassy Side,apartment,164.4,1,1,3,14,yes,31.93219,35.859392,0.651
156703.89,Amman,Deir Ghbar,Lower Deir Ghbar,apartment,122.6,3,3,3,0,no,31.930304,35.856762,0.678
187347.03,Amman,Al Rabieh,Rabieh Main,apartment,201.4,4,1,2,11,no,31.978946,35.8698,0.796
109070.72,Amman,Tla Al Ali,Tla Al Ali Main,house,101.2,4,3,2,16,no,32.001284,35.86703,0.685
147831.02,Amman,Sweifieh,Shopping District,apartment,153.4,5,1,5,10,no,31.957642,35.844187,0.566
203133.72,Amman,Tla Al Ali,Market Side,house,171.1,4,2,0,5,yes,32.008101,35.860792,0.785
149068.26,Amman,Al Rabieh,Northern Rabieh,apartment,159.4,4,2,2,6,no,31.984373,35.872927,0.357
120872.42,Amman,Marj Al Hamam,New Marj,house,144.4,2,2,2,3,yes,31.897228,35.841403,0.591
227099.07,Amman,Deir Ghbar,Embassy Side,house,166.6,3,1,2,9,no,31.931653,35.863611,1.0
155127.35,Amman,Sweifieh,7th Circle Side,apartment,102.4,4,3,4,3,yes,31.947187,35.862208,0.873
100834.65,Amman,Sweifieh,Shopping District,apartment,110.4,2,2,1,0,no,31.949564,35.861415,0.632
322887.69,Amman,Dabouq,Western Dabouq,house,224.7,2,2,5,0,no,31.98715,35.821248,0.661
137625.6,Amman,Jubeiha,Jubeiha Center,house,166.7,4,1,0,13,yes,32.015553,35.872025,0.673
149025.88,Amman,Sweifieh,7th Circle Side,apartment,165.5,3,2,7,12,no,31.961596,35.851277,0.406
186810.09,Amman,Khalda,University Street,apartment,207.1,2,3,4,15,yes,31.993282,35.834924,0.961
109113.75,Amman,Tla Al Ali,Residential Tla Al Ali,apartment,118.3,3,3,3,15,no,32.015975,35.862647,0.622
128010.55,Amman,Jubeiha,University Area,apartment,183.2,2,1,4,7,yes,32.017113,35.86909,0.749
88285.21,Amman,Jubeiha,University Area,house,86.8,3,3,3,0,no,32.016497,35.863413,0.651
145792.8,Amman,Sweifieh,7th Circle Side,apartment,157.6,2,3,4,17,no,31.947356,35.851535,0.81
158380.11,Amman,Marj Al Hamam,New Marj,house,178.1,4,5,4,17,no,31.89896,35.825993,0.792
74250.39,Amman,Shmeisani,Park Side,apartment,120.2,3,2,3,25,yes,31.974604,35.881511,0.284
205381.7,Amman,Deir Ghbar,Embassy Side,house,204.0,3,1,1,14,no,31.934515,35.861819,0.489
233026.47,Amman,Tla Al Ali,Tla Al Ali Main,apartment,251.5,4,1,3,4,no,32.000252,35.863697,0.773
241729.02,Amman,Deir Ghbar,Upper Deir Ghbar,apartment,194.0,2,2,1,4,no,31.935835,35.852674,0.938
214185.6,Amman,Dabouq,Royal Area,apartment,250.5,4,1,1,18,yes,31.981107,35.837922,0.493
164867.73,Amman,Tla Al Ali,Market Side,house,152.3,1,1,2,0,yes,31.995789,35.86142,0.914
281197.86,Amman,Al Rabieh,Northern Rabieh,house,219.9,2,3,3,2,no,31.983693,35.866898,0.703
277162.3,Amman,Abdoun,Embassy Area,house,137.7,3,3,6,0,yes,31.936035,35.886738,1.0
162134.88,Amman,Jubeiha,Jubeiha Center,house,167.6,2,2,1,5,yes,32.016299,35.86475,0.773
175919.27,Amman,Khalda,Medical City Side,apartment,168.8,4,3,0,5,no,31.999273,35.840054,0.755
218484.82,Amman,Shmeisani,Park Side,apartment,212.5,2,3,2,7,yes,31.975578,35.898495,0.818
169028.75,Amman,Shmeisani,Residential Shmeisani,apartment,155.9,4,2,3,8,yes,31.973966,35.887072,0.637
123047.2,Amman,Khalda,University Street,house,109.7,2,3,4,13,yes,31.994914,35.833919,0.733
204690.32,Amman,Abdoun,South Abdoun,house,124.5,4,2,0,7,yes,31.945754,35.882044,0.694
162507.84,Amman,Sweifieh,7th Circle Side,apartment,166.0,2,2,3,0,yes,31.951971,35.856606,0.367
315136.62,Amman,Dabouq,Dabouq Villas,house,221.4,4,2,2,2,yes,31.975979,35.834759,0.617
189194.54,Amman,Deir Ghbar,Embassy Side,apartment,178.4,5,2,4,14,yes,31.934569,35.861588,0.548
114788.24,Amman,Marj Al Hamam,Airport Road Side,house,120.2,3,3,6,16,yes,31.889029,35.834306,1.0
