district,area_name,land_area_sqm,land_type,street_width_m,main_road_access,near_services,zoning_category,zoning_score,development_level,corner_plot,shape_regular,slope_level,lat,lng,asking_price_jod,price_per_sqm_jod,estimated_market_value_jod,fairness_label
Dabouq,Airport Road West,892.6,residential,16.0,1,0,C,6,prime,1,1,flat,31.9955,35.831363,1056742.96,1320.0,1178236.98,Underpriced
Dabouq,Airport Road West,922.04,residential,16.0,0,1,D,5,prime,0,1,flat,31.993644,35.83327,1157739.91,1320.0,1217097.51,Fair Price
Khalda,Khalda North,861.68,residential,8.0,1,1,B,8,high,0,0,moderate,32.027444,35.84434,561892.58,635.42,547524.11,Fair Price
Jabal Amman,4th Circle,876.15,residential,6.0,0,1,C,6,prime,0,1,flat,31.956727,35.911238,927462.5,1102.89,966294.19,Fair Price
Al Jubeiha,Jubeiha North,883.58,residential,10.0,1,1,B,8,high,0,1,flat,32.034237,35.869783,415981.13,462.0,408214.94,Fair Price
Naour,Naour West,825.06,residential,8.0,1,1,C,6,medium,1,1,flat,31.871009,35.76466,141118.97,172.69,142481.98,Fair Price
Sweileh,Sweileh Center,415.78,residential,24.0,0,1,B,8,prime,0,1,flat,32.024076,35.851775,155899.4,473.0,196663.51,Underpriced
Marj Al Hamam,Marj Center,583.35,residential,20.0,0,1,B,8,high,0,1,flat,31.886807,35.79421,201872.71,331.85,193582.63,Fair Price
Marj Al Hamam,Marj Center,572.86,residential,24.0,0,1,C,6,low,0,1,moderate,31.889772,35.803982,125751.85,249.1,142696.26,Underpriced
Al Jubeiha,Jubeiha University Side,533.02,residential,14.0,0,1,D,5,prime,1,1,flat,32.029812,35.868704,275297.64,462.0,246256.88,Overpriced
Sweileh,Sweileh North,498.02,residential,14.0,0,0,D,5,medium,0,1,flat,32.024817,35.853399,97308.12,229.08,114087.24,Underpriced
Naour,Naour West,4294.91,agricultural,20.0,0,0,agricultural,3,medium,0,1,flat,31.870929,35.769447,197336.23,54.97,236098.7,Underpriced
Abdoun,North Abdoun,769.73,commercial,8.0,1,0,commercial_local,8,high,0,0,flat,31.944265,35.880857,1250425.94,1507.97,1160733.02,Fair Price
Naour,Naour Center,526.06,residential,14.0,1,0,C,6,high,1,1,steep,31.866821,35.759198,98533.2,161.4,84906.71,Overpriced
Tla Al Ali,Tla Al Ali East,2131.37,agricultural,14.0,0,1,agricultural,3,medium,0,0,moderate,32.00516,35.864419,256059.11,115.75,246715.36,Fair Price
Sweileh,Sweileh Center,636.84,commercial,10.0,1,1,commercial_general,10,high,0,1,flat,32.024576,35.847332,482992.6,897.0,571244.58,Underpriced
Naour,Naour West,1633.42,commercial,6.0,1,1,commercial_general,10,medium,1,0,flat,31.867307,35.760264,399372.14,252.57,412560.24,Fair Price
Um Uthaina,Um Uthaina North,828.45,residential,16.0,0,1,C,6,prime,0,1,flat,31.978663,35.889512,970010.43,1288.89,1067784.07,Fair Price
Abdoun,North Abdoun,464.15,residential,20.0,1,0,A,9,prime,0,0,moderate,31.946187,35.879289,693170.73,1540.0,714783.86,Fair Price
Deir Ghbar,Deir Ghbar South,250.0,commercial,12.0,0,1,commercial_local,8,high,0,1,flat,31.937887,35.843193,258382.92,1076.75,269186.65,Fair Price
Tabarbour,Inner Neighborhood,4478.77,agricultural,12.0,0,0,agricultural,3,high,0,1,moderate,31.991862,35.935443,283100.18,64.69,289728.62,Fair Price
Naour,Naour West,1138.75,residential,8.0,0,1,D,5,high,0,0,moderate,31.864438,35.76118,172161.45,145.73,165948.16,Fair Price
Dabouq,Airport Road West,250.0,residential,14.0,0,0,C,6,high,0,1,flat,31.998642,35.833026,254552.53,927.63,231906.48,Fair Price
Marj Al Hamam,Marj Center,2681.28,agricultural,10.0,0,0,agricultural,3,low,1,0,flat,31.885437,35.801148,226249.72,82.38,220887.3,Fair Price
Sweileh,Sweileh Center,1025.66,residential,16.0,0,1,D,5,high,1,1,moderate,32.025485,35.864203,345726.9,417.25,427961.05,Underpriced
Deir Ghbar,Deir Ghbar Heights,840.56,residential,16.0,1,0,D,5,high,0,1,steep,31.931019,35.84576,489339.04,547.34,460074.72,Fair Price
Jabal Amman,1st Circle,765.26,residential,8.0,0,1,A,9,low,1,1,moderate,31.94333,35.903165,596681.62,807.31,617801.85,Fair Price
Dabouq,Airport Road West,1191.75,commercial,6.0,1,1,commercial_local,8,prime,0,0,flat,31.985338,35.826115,2038059.24,1417.45,1689243.36,Overpriced
Tabarbour,Inner Neighborhood,480.67,residential,6.0,0,1,B,8,low,1,0,flat,31.996926,35.928959,146240.35,262.62,126234.75,Overpriced
Al Jubeiha,Jubeiha University Side,965.46,residential,16.0,0,1,C,6,high,0,1,flat,32.032721,35.874919,363061.32,377.22,364191.6,Fair Price
Naour,Naour Center,354.4,residential,14.0,0,1,B,8,medium,1,1,moderate,31.867168,35.759436,69557.14,204.6,72509.06,Fair Price
Shmeisani,West Shmeisani,721.46,residential,12.0,0,1,D,5,prime,0,1,moderate,31.968436,35.880817,590932.66,758.5,547225.62,Fair Price
Sahab,Sahab Center,654.16,residential,12.0,1,1,C,6,low,0,0,flat,31.873028,36.001043,54549.73,89.21,58355.65,Fair Price
Dabouq,Airport Road West,663.32,commercial,16.0,0,1,commercial_general,10,low,1,1,flat,31.988902,35.835938,1158651.53,1955.0,1296790.13,Underpriced
Marka,Marka South,1042.88,residential,12.0,1,1,B,8,medium,1,1,steep,31.997036,35.941388,229196.59,193.17,201449.44,Overpriced
Marj Al Hamam,Marj Center,332.11,residential,20.0,0,1,C,6,high,1,1,moderate,31.888982,35.795118,123064.75,297.82,98910.05,Overpriced
Shmeisani,West Shmeisani,1495.77,agricultural,20.0,0,0,agricultural,3,high,1,1,steep,31.96673,35.88129,191178.16,130.31,194912.25,Fair Price
Sweileh,Sweileh North,763.23,residential,14.0,1,1,C,6,high,0,1,flat,32.023864,35.858999,344464.97,467.82,357052.3,Fair Price
Khalda,Khalda Circle,1179.38,residential,12.0,0,1,D,5,prime,0,1,moderate,32.023092,35.838915,361338.56,326.8,385415.72,Fair Price
Sahab,Sahab Center,311.76,residential,12.0,0,1,C,6,high,0,0,flat,31.861415,36.007959,28536.53,110.39,34416.53,Underpriced
Sweileh,Sweileh North,460.86,commercial,20.0,1,1,commercial_general,10,prime,1,1,moderate,32.02712,35.854066,361772.9,897.0,413393.48,Underpriced
